ID Number,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,Industry,Summary Quote
94,ADSK,"Autodesk, Inc.",53.54,12166239693.62,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adsk
95,SIAL,Sigma-Aldrich Corporation,102.04,12140191347.08,n/a,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/sial
96,DISCB,"Discovery Communications, Inc.",40.4,11870739029.60,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/discb
97,CTXS,"Citrix Systems, Inc.",71.97,11836927562.97,1995,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ctxs
98,DISCA,"Discovery Communications, Inc.",39.66,11653304700.84,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/disca
99,EA,Electronic Arts Inc.,37.16,11616702833.16,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ea
100,LRCX,Lam Research Corporation,71.65,11612690731.05,1984,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/lrcx
101,MAT,"Mattel, Inc.",34.34,11601695306.36,n/a,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/mat
102,EQIX,"Equinix, Inc.",216.73,11528757943.19,2000,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eqix
103,DLTR,"Dollar Tree, Inc.",55.92,11498584950.00,1995,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/dltr
104,ARCP,"American Realty Capital Properties, Inc.",12.56,11404287907.36,2011,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/arcp
105,DISCK,"Discovery Communications, Inc.",38.8,11400610751.20,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/disck
106,XLNX,"Xilinx, Inc.",42.45,11397054108.00,1990,Technology,Semiconductors,http://www.nasdaq.com/symbol/xlnx
107,AKAM,"Akamai Technologies, Inc.",62.47,11129850856.04,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/akam
108,EXPE,"Expedia, Inc.",86.55,11008129102.95,n/a,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/expe
109,ALTR,Altera Corporation,35.495,10967219188.65,1988,Technology,Semiconductors,http://www.nasdaq.com/symbol/altr
110,VRSK,"Verisk Analytics, Inc.",64.63,10759287910.42,2009,Technology,EDP Services,http://www.nasdaq.com/symbol/vrsk
111,LLTC,Linear Technology Corporation,44.625,10643568190.50,1986,Technology,Semiconductors,http://www.nasdaq.com/symbol/lltc
112,SWKS,"Skyworks Solutions, Inc.",55.02,10427733834.84,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/swks
113,NVDA,NVIDIA Corporation,19.12,10361416807.60,1999,Technology,Semiconductors,http://www.nasdaq.com/symbol/nvda
114,GRMN,Garmin Ltd.,53.53,10310750539.00,2000,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/grmn
115,JAZZ,Jazz Pharmaceuticals plc,169.405,10201760188.84,2007,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/jazz
116,LINE,"Linn Energy, LLC",30.64,10164184097.44,2006,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/line
117,YNDX,Yandex N.V.,31.56,10033720605.96,2011,Technology,Computer Software: Programming; Data Processing,http://www.nasdaq.com/symbol/yndx
118,BMRN,BioMarin Pharmaceutical Inc.,68,10003947364.00,1999,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bmrn
119,CTRX,Catamaran Corporation,47.93,9941405167.84,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/ctrx
120,CG,The Carlyle Group L.P.,31.27,9934206513.22,2012,Finance,Investment Managers,http://www.nasdaq.com/symbol/cg
121,SRCL,"Stericycle, Inc.",117.11,9932131539.47,1996,Basic Industries,Environmental Services,http://www.nasdaq.com/symbol/srcl
122,NWSA,News Corporation,17.12,9913078772.00,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/nwsa
123,HSIC,"Henry Schein, Inc.",116.76,9905054376.00,1995,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/hsic
124,ENDP,Endo International plc,64.46,9896664726.96,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/endp
125,CHRW,"C.H. Robinson Worldwide, Inc.",67.17,9884572163.31,1997,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/chrw
126,NWS,News Corporation,16.79,9721997230.25,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/nws
127,CTRP,"Ctrip.com International, Ltd.",64.05,9677739279.60,2003,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ctrp
128,MCHP,Microchip Technology Incorporated,47.67,9553111761.06,1993,Technology,Semiconductors,http://www.nasdaq.com/symbol/mchp
129,PCYC,"Pharmacyclics, Inc.",123.95,9329707327.70,1995,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/pcyc
130,FFIV,"F5 Networks, Inc.",125.08,9266443105.48,1999,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/ffiv
131,SLXP,"Salix Pharmaceuticals, Ltd.",143.43,9134886161.73,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/slxp
132,BEAV,"B/E Aerospace, Inc.",86.07,9063399085.50,1990,Consumer Durables,Industrial Specialties,http://www.nasdaq.com/symbol/beav
133,JBHT,"J.B. Hunt Transport Services, Inc.",75.36,8782970992.80,n/a,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/jbht
134,GPRO,"GoPro, Inc.",69.18,8717526624.84,2014,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/gpro
135,MXIM,"Maxim Integrated Products, Inc.",30.39,8628845490.78,1988,Technology,Semiconductors,http://www.nasdaq.com/symbol/mxim
136,AGNCB,American Capital Agency Corp.,24.414,8612983492.70,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncb
137,ASML,ASML Holding N.V.,98.92,8501165016.00,1995,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asml
138,TRMB,Trimble Navigation Limited,32.63,8481018847.21,1990,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/trmb
139,LKQ,LKQ Corporation,27.95,8459387723.15,n/a,Consumer Services,Motor Vehicles,http://www.nasdaq.com/symbol/lkq
140,TSCO,Tractor Supply Company,61.05,8405153865.90,1994,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/tsco
141,VCSH,Vanguard Short-Term Corporate Bond ETF,79.84,8399168000.00,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vcsh
142,SPLS,"Staples, Inc.",12.945,8339183834.97,1989,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/spls
143,HBAN,Huntington Bancshares Incorporated,10.13,8276233258.48,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/hban
144,EXPD,"Expeditors International of Washington, Inc.",42.41,8274531679.53,n/a,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/expd
145,INCY,Incyte Corporation,48.72,8205029862.96,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/incy
146,AGNC,American Capital Agency Corp.,22.71,8011831535.97,2008,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agnc
147,PPC,Pilgrim&#39;s Pride Corporation,30.89,8001406829.37,n/a,Consumer Non-Durables,Meat/Poultry/Fish,http://www.nasdaq.com/symbol/ppc
148,ITMN,"InterMune, Inc.",73.78,7996705283.14,2000,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/itmn
149,CTAS,Cintas Corporation,66.34,7880197430.72,1983,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/ctas
150,CINF,Cincinnati Financial Corporation,48.04,7861802735.24,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/cinf
151,SHPG,Shire plc,257.66,7778270483.88,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/shpg
152,DOX,Amdocs Limited,47.62,7550008140.00,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dox
153,NCLH,Norwegian Cruise Line Holdings Ltd.,36.62,7441321947.54,2013,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/nclh
154,NDAQ,"The NASDAQ OMX Group, Inc.",43.855,7399918771.07,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/ndaq
155,ULTA,"Ulta Salon, Cosmetics & Fragrance, Inc.",114.89,7396248713.76,2007,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/ulta
156,NAVI,Navient Corporation,17.62,7390505647.58,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/navi
157,ANSS,"ANSYS, Inc.",80.195,7379199863.45,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/anss
158,MDVN,"Medivation, Inc.",95.53,7335646769.49,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mdvn
159,ACGL,Arch Capital Group Ltd.,53.98,7293395475.58,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/acgl
160,FSLR,"First Solar, Inc.",72.78,7292060804.88,2006,Technology,Semiconductors,http://www.nasdaq.com/symbol/fslr
161,MRVL,Marvell Technology Group Ltd.,13.86,7129584000.00,2000,Technology,Semiconductors,http://www.nasdaq.com/symbol/mrvl
162,SPLK,Splunk Inc.,59.02,7077484460.28,2012,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/splk
163,OTEX,Open Text Corporation,57.74,7030331863.68,1996,Technology,EDP Services,http://www.nasdaq.com/symbol/otex
164,VRSN,"VeriSign, Inc.",56.15,7019906690.00,1998,Technology,EDP Services,http://www.nasdaq.com/symbol/vrsn
165,PETM,"PetSmart, Inc",70.5,7002899020.50,1993,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/petm
166,HOLX,"Hologic, Inc.",24.73,6868997034.78,1990,Health Care,Medical Electronics,http://www.nasdaq.com/symbol/holx
167,SCTY,SolarCity Corporation,74.01,6860109090.51,2012,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/scty
168,HAS,"Hasbro, Inc.",53.67,6842009121.45,n/a,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/has
169,GT,The Goodyear Tire & Rubber Company,24.6,6772691952.60,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/gt
170,ETFC,E*TRADE Financial Corporation,23.14,6680944423.92,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/etfc
171,WIN,"Windstream Holdings, Inc.",11.07,6671598335.01,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/win
172,XRAY,DENTSPLY International Inc.,46.75,6628104483.00,1987,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/xray
173,CAR,"Avis Budget Group, Inc.",63.56,6612463138.12,n/a,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/car
174,NTES,"NetEase, Inc.",88.32,6579366516.48,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ntes
175,MEOH,Methanex Corporation,69.49,6571214765.91,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/meoh
176,ACWI,iShares MSCI ACWI Index Fund,60.1,6550900000.00,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acwi
177,RYAAY,Ryanair Holdings plc,57.96,6509855588.04,1997,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/ryaay
178,FLEX,Flextronics International Ltd.,11.02,6481510560.06,1994,Technology,Electrical Products,http://www.nasdaq.com/symbol/flex
179,ALKS,Alkermes plc,44.35,6467466877.15,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alks
180,FTR,Frontier Communications Corporation,6.4,6413459200.00,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/ftr
181,SNPS,"Synopsys, Inc.",41.15,6412221547.10,1992,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/snps
182,GLNG,Golar LNG Limited,67.56,6301981328.76,n/a,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/glng
183,CNQR,"Concur Technologies, Inc.",110.06,6277400319.90,1998,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cnqr
184,SEIC,SEI Investments Company,37.27,6252617874.26,1981,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/seic
185,IDXX,"IDEXX Laboratories, Inc.",123.68,6217398423.52,1991,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/idxx
186,SSYS,"Stratasys, Ltd.",124.16,6137973760.00,1994,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/ssys
187,ICPT,"Intercept Pharmaceuticals, Inc.",288.21,6115227963.39,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/icpt
188,ODFL,"Old Dominion Freight Line, Inc.",70.53,6077211596.01,1991,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/odfl
189,ZION,Zions Bancorporation,29.58,5998306142.94,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/zion
190,ARMH,ARM Holdings plc,46.24,5928761663.36,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/armh
191,SBNY,Signature Bank,117.56,5915082303.48,2004,Finance,Major Banks,http://www.nasdaq.com/symbol/sbny
192,UTHR,United Therapeutics Corporation,124.84,5901109524.04,1999,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/uthr
193,IACI,IAC/InterActiveCorp,70.45,5874584138.30,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/iaci
194,SIVB,SVB Financial Group,115.76,5872745580.80,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sivb
195,LECO,"Lincoln Electric Holdings, Inc.",72.47,5758915658.94,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/leco
196,QGEN,Qiagen N.V.,23.79,5702629530.00,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/qgen
197,STLD,"Steel Dynamics, Inc.",23.755,5702151221.47,1996,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/stld
198,BBRY,BlackBerry Limited,10.79,5690875050.12,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/bbry
